model,tier,threads,mode,test,tok_per_s,peak_rss_mb
qwen3-4b,low,4,baseline,pp64,22.87,8192
qwen3-4b,low,4,baseline,tg16,6.36,8192
qwen3-4b,low,4,slim-arc,pp64,24.58,8192
qwen3-4b,low,4,slim-arc,tg16,7.54,8192
olmoe,low,4,baseline,pp64,88.27,8192
olmoe,low,4,baseline,tg16,36.53,8192
olmoe,low,4,slim-arc,pp64,95.99,8192
olmoe,low,4,slim-arc,tg16,36.62,8192
qwen3-4b,mid,6,baseline,pp64,28.95,3073
qwen3-4b,mid,6,baseline,tg16,12.00,3073
qwen3-4b,mid,6,slim-arc,pp64,28.35,3073
qwen3-4b,mid,6,slim-arc,tg16,11.33,3073
olmoe,mid,6,baseline,pp64,100.50,4099
olmoe,mid,6,baseline,tg16,39.93,4099
olmoe,mid,6,slim-arc,pp64,100.54,4099
olmoe,mid,6,slim-arc,tg16,42.14,4099
qwen3-4b,high,8,baseline,pp64,33.32,16384
qwen3-4b,high,8,baseline,tg16,14.28,16384
qwen3-4b,high,8,slim-arc,pp64,30.56,16384
qwen3-4b,high,8,slim-arc,tg16,13.97,16384
olmoe,high,8,baseline,pp64,116.97,16384
olmoe,high,8,baseline,tg16,47.58,16384
olmoe,high,8,slim-arc,pp64,110.77,16384
olmoe,high,8,slim-arc,tg16,48.42,16384
